1763954524913	2025-11-24T03:22:04.913Z	[debug] server running on 0.0.0.0:60000
1763954524931	2025-11-24T03:22:04.931Z	[debug] q0 running on 0.0.0.0:50000
1763954524973	2025-11-24T03:22:04.973Z	[debug] server running on 0.0.0.0:60000
1763954524979	2025-11-24T03:22:04.979Z	[debug] server running on 0.0.0.0:60000
1763954524983	2025-11-24T03:22:04.983Z	[debug] server running on 0.0.0.0:60000
1763954529592	2025-11-24T03:22:09.592Z	[debug] q1 running on 0.0.0.0:50000
1763954529614	2025-11-24T03:22:09.614Z	[debug] server running on 0.0.0.0:60000
1763954529652	2025-11-24T03:22:09.652Z	[debug] server running on 0.0.0.0:60000
1763954529660	2025-11-24T03:22:09.660Z	[debug] server running on 0.0.0.0:60000
1763954529669	2025-11-24T03:22:09.669Z	[debug] server running on 0.0.0.0:60000
1763954592446	2025-11-24T03:23:12.446Z	[info] j0 IN q0 ARRIVE-VIA generator
1763954592446	2025-11-24T03:23:12.446Z	[info] j0 IN q0 ENTERS-SERVER s2
1763954592453	2025-11-24T03:23:12.453Z	[info] j0 IN q0 TASK-START 1 wait 3
1763954592948	2025-11-24T03:23:12.948Z	[info] j1 IN q0 ARRIVE-VIA generator
1763954592948	2025-11-24T03:23:12.948Z	[info] j1 IN q0 ENTERS-SERVER s3
1763954592950	2025-11-24T03:23:12.950Z	[info] j1 IN q0 TASK-START 1 wait 3
1763954593449	2025-11-24T03:23:13.449Z	[info] j2 IN q0 ARRIVE-VIA generator
1763954593449	2025-11-24T03:23:13.449Z	[info] j2 IN q0 ENTERS-SERVER s1
1763954593452	2025-11-24T03:23:13.452Z	[info] j2 IN q0 TASK-START 1 wait 3
1763954593950	2025-11-24T03:23:13.950Z	[info] j3 IN q0 ARRIVE-VIA generator
1763954593950	2025-11-24T03:23:13.950Z	[info] j3 IN q0 ENTERS-SERVER s0
1763954594452	2025-11-24T03:23:14.452Z	[info] j4 IN q0 ARRIVE-VIA generator
1763954594953	2025-11-24T03:23:14.953Z	[info] j5 IN q0 ARRIVE-VIA generator
1763954595453	2025-11-24T03:23:15.453Z	[info] j0 IN q0 TASK-STOP 1 wait 3
1763954595453	2025-11-24T03:23:15.453Z	[info] j0 IN q0 EXITS-SERVER s2
1763954595453	2025-11-24T03:23:15.453Z	[info] j0 IN q0 DEPART-VIA q1
1763954595455	2025-11-24T03:23:15.455Z	[info] j6 IN q0 ARRIVE-VIA generator
1763954595460	2025-11-24T03:23:15.460Z	[info] j0 IN q1 ARRIVE-VIA q0
1763954595460	2025-11-24T03:23:15.460Z	[info] j0 IN q1 ENTERS-SERVER s2
1763954595461	2025-11-24T03:23:15.461Z	[info] j4 IN q0 ENTERS-SERVER s2
1763954595461	2025-11-24T03:23:15.461Z	[info] j4 IN q0 TASK-START 1 wait 3
1763954595465	2025-11-24T03:23:15.465Z	[info] j0 IN q1 TASK-START 2 wait 7
1763954595951	2025-11-24T03:23:15.951Z	[info] j1 IN q0 TASK-STOP 1 wait 3
1763954595951	2025-11-24T03:23:15.951Z	[info] j3 IN q0 TASK-START 1 wait 3
1763954595951	2025-11-24T03:23:15.951Z	[info] j1 IN q0 EXITS-SERVER s3
1763954595951	2025-11-24T03:23:15.951Z	[info] j1 IN q0 DEPART-VIA q1
1763954595956	2025-11-24T03:23:15.956Z	[info] j7 IN q0 ARRIVE-VIA generator
1763954595959	2025-11-24T03:23:15.959Z	[info] j1 IN q1 ARRIVE-VIA q0
1763954595959	2025-11-24T03:23:15.959Z	[info] j1 IN q1 ENTERS-SERVER s3
1763954595959	2025-11-24T03:23:15.959Z	[info] j5 IN q0 ENTERS-SERVER s3
